INFO 2024-01-06 04:43:03,913 autoreload 13972 15116 Watching for file changes with StatReloader
WARNING 2024-01-06 04:59:33,331 log 13376 1648 Not Found: /web/images/obj2.png
WARNING 2024-01-06 04:59:33,332 log 13376 14072 Not Found: /web/images/obj3.png
WARNING 2024-01-06 04:59:33,333 basehttp 13376 9296 "GET /web/images/kid-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 04:59:33,334 log 13376 13976 Not Found: /web/images/p1.jpg
WARNING 2024-01-06 04:59:33,335 basehttp 13376 10364 "GET /web/images/b1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,337 basehttp 13376 13104 "GET /web/images/man-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 04:59:33,337 basehttp 13376 1648 "GET /web/images/obj2.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:59:33,339 basehttp 13376 14072 "GET /web/images/obj3.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:59:33,340 basehttp 13376 13976 "GET /web/images/p1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,358 log 13376 9296 Not Found: /web/images/slide1.png
WARNING 2024-01-06 04:59:33,364 basehttp 13376 9296 "GET /web/images/slide1.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:59:33,365 log 13376 10364 Not Found: /web/images/b2.jpg
WARNING 2024-01-06 04:59:33,369 log 13376 13104 Not Found: /web/images/p2.jpg
WARNING 2024-01-06 04:59:33,370 log 13376 1648 Not Found: /web/images/b3.jpg
WARNING 2024-01-06 04:59:33,371 log 13376 13976 Not Found: /web/images/b4.jpg
WARNING 2024-01-06 04:59:33,372 basehttp 13376 10364 "GET /web/images/b2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,373 basehttp 13376 13104 "GET /web/images/p2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,374 log 13376 14072 Not Found: /web/images/p3.jpg
WARNING 2024-01-06 04:59:33,376 basehttp 13376 1648 "GET /web/images/b3.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,377 basehttp 13376 13976 "GET /web/images/b4.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,383 basehttp 13376 14072 "GET /web/images/p3.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,388 log 13376 9296 Not Found: /web/images/p4.jpg
WARNING 2024-01-06 04:59:33,397 basehttp 13376 9296 "GET /web/images/p4.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,399 log 13376 13104 Not Found: /web/images/b6.jpg
WARNING 2024-01-06 04:59:33,402 log 13376 1648 Not Found: /web/images/p6.jpg
WARNING 2024-01-06 04:59:33,402 log 13376 10364 Not Found: /web/images/b5.jpg
WARNING 2024-01-06 04:59:33,405 log 13376 13976 Not Found: /web/images/b7.jpg
WARNING 2024-01-06 04:59:33,405 basehttp 13376 13104 "GET /web/images/b6.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,407 log 13376 14072 Not Found: /web/images/p7.jpg
WARNING 2024-01-06 04:59:33,408 basehttp 13376 1648 "GET /web/images/p6.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,408 basehttp 13376 10364 "GET /web/images/b5.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,409 basehttp 13376 13976 "GET /web/images/b7.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,415 basehttp 13376 14072 "GET /web/images/p7.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,417 log 13376 9296 Not Found: /web/images/p8.jpg
WARNING 2024-01-06 04:59:33,420 basehttp 13376 9296 "GET /web/images/p8.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,421 log 13376 1648 Not Found: /web/images/list-icon.png
WARNING 2024-01-06 04:59:33,422 log 13376 13104 Not Found: /web/images/flogo.png
WARNING 2024-01-06 04:59:33,423 basehttp 13376 1648 "GET /web/images/list-icon.png HTTP/1.1" 404 2524
WARNING 2024-01-06 04:59:33,423 basehttp 13376 13104 "GET /web/images/flogo.png HTTP/1.1" 404 2512
INFO 2024-01-06 05:02:27,914 autoreload 14944 472 Watching for file changes with StatReloader
INFO 2024-01-06 05:02:29,244 basehttp 14944 13844 "GET / HTTP/1.1" 200 14765
INFO 2024-01-06 05:02:29,342 basehttp 14944 14348 "GET /static/web/js/jquery.min.js HTTP/1.1" 200 96381
INFO 2024-01-06 05:02:29,351 basehttp 14944 8792 "GET /static/web/css/style.css HTTP/1.1" 200 40744
INFO 2024-01-06 05:02:29,363 basehttp 14944 13844 "GET /static/web/css/bootstrap.css HTTP/1.1" 200 121261
INFO 2024-01-06 05:02:29,364 basehttp 14944 11336 "GET /static/web/js/move-top.js HTTP/1.1" 200 1330
INFO 2024-01-06 05:02:29,370 basehttp 14944 15228 "GET /static/web/js/easing.js HTTP/1.1" 200 4759
INFO 2024-01-06 05:02:29,370 basehttp 14944 13844 "GET /static/web/images/nav-icon.png HTTP/1.1" 200 392
INFO 2024-01-06 05:02:29,371 basehttp 14944 11336 "GET /static/web/images/logo.png HTTP/1.1" 200 5992
WARNING 2024-01-06 05:02:29,422 log 14944 11336 Not Found: /web/js/responsiveslides.min.js
WARNING 2024-01-06 05:02:29,428 log 14944 13844 Not Found: /web/images/slide1.png
WARNING 2024-01-06 05:02:29,429 basehttp 14944 13844 "GET /web/images/slide1.png HTTP/1.1" 404 2515
WARNING 2024-01-06 05:02:29,429 basehttp 14944 11336 "GET /web/js/responsiveslides.min.js HTTP/1.1" 404 2542
WARNING 2024-01-06 05:02:29,440 log 14944 15228 Not Found: /web/images/slide2.png
INFO 2024-01-06 05:02:29,441 basehttp 14944 11336 "GET /static/web/images/phone-icon.png HTTP/1.1" 200 551
INFO 2024-01-06 05:02:29,442 basehttp 14944 13844 "GET /static/web/images/cart.png HTTP/1.1" 200 470
WARNING 2024-01-06 05:02:29,445 basehttp 14944 15228 "GET /web/images/slide2.png HTTP/1.1" 404 2515
INFO 2024-01-06 05:02:29,445 basehttp 14944 11336 "GET /static/web/images/arrow.png HTTP/1.1" 200 338
WARNING 2024-01-06 05:02:29,456 log 14944 14348 Not Found: /web/images/obj1.png
INFO 2024-01-06 05:02:29,463 basehttp 14944 13844 "GET /static/web/images/mail-icon.png HTTP/1.1" 200 382
WARNING 2024-01-06 05:02:29,459 log 14944 8792 Not Found: /web/images/img-w.jpg
WARNING 2024-01-06 05:02:29,466 basehttp 14944 14348 "GET /web/images/obj1.png HTTP/1.1" 404 2509
WARNING 2024-01-06 05:02:29,472 basehttp 14944 8792 "GET /web/images/img-w.jpg HTTP/1.1" 404 2512
WARNING 2024-01-06 05:02:29,486 log 14944 14572 Not Found: /web/images/list-icon.png
WARNING 2024-01-06 05:02:29,488 log 14944 11336 Not Found: /web/images/man-r-img.jpg
WARNING 2024-01-06 05:02:29,489 log 14944 15228 Not Found: /web/images/obj2.png
WARNING 2024-01-06 05:02:29,490 basehttp 14944 14572 "GET /web/images/list-icon.png HTTP/1.1" 404 2524
WARNING 2024-01-06 05:02:29,491 basehttp 14944 11336 "GET /web/images/man-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 05:02:29,493 log 14944 13844 Not Found: /web/images/kid-r-img.jpg
WARNING 2024-01-06 05:02:29,496 basehttp 14944 15228 "GET /web/images/obj2.png HTTP/1.1" 404 2509
WARNING 2024-01-06 05:02:29,500 basehttp 14944 13844 "GET /web/images/kid-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 05:02:29,507 log 14944 14348 Not Found: /web/images/obj3.png
INFO 2024-01-06 05:02:29,508 basehttp 14944 14572 "GET /static/web/images/to-top1.png HTTP/1.1" 200 639
WARNING 2024-01-06 05:02:29,510 log 14944 8792 Not Found: /web/images/b1.jpg
WARNING 2024-01-06 05:02:29,510 basehttp 14944 14348 "GET /web/images/obj3.png HTTP/1.1" 404 2509
WARNING 2024-01-06 05:02:29,523 basehttp 14944 8792 "GET /web/images/b1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 05:02:29,527 log 14944 13844 Not Found: /web/images/p1.jpg
WARNING 2024-01-06 05:02:29,529 log 14944 11336 Not Found: /web/images/p2.jpg
WARNING 2024-01-06 05:02:29,532 log 14944 15228 Not Found: /web/images/b2.jpg
WARNING 2024-01-06 05:02:29,533 basehttp 14944 11336 "GET /web/images/p2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 05:02:29,534 basehttp 14944 13844 "GET /web/images/p1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 05:02:29,539 basehttp 14944 15228 "GET /web/images/b2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 05:02:29,551 log 14944 14572 Not Found: /web/images/b3.jpg
WARNING 2024-01-06 05:02:29,554 log 14944 14348 Not Found: /web/images/p3.jpg
WARNING 2024-01-06 05:02:29,557 basehttp 14944 14572 "GET /web/images/b3.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 05:02:29,558 basehttp 14944 14348 "GET /web/images/p3.jpg HTTP/1.1" 404 2503
